id,case_numbe,QUAD
7254488,101003613848,SE
7315969,101003682972,SE
7334387,101003703937,SE
7367123,377147-101003741715,SE
7393617,101003891194,SE
7369812,101003744780,SE
7407167,101003927848,SE
7309433,368712-101003675514,SE
7309434,368711-101003675515,SE
7341333,373274-101003711870,SE
7278902,101003641444,SE
7272150,101003633771,SE
7326457,101003694916,SE
7327709,101003696320,SE
7235398,101003592558,SE
7288441,101003651889,SE
7383414,101003780304,SE
7384218,101003781209,SE
7252857,101003612036,SE
7278012,364618-101003640430,SE
7287017,365972-101003650361,SE
7321396,101003689174,SE
id,case_numbe,QUAD
7272915,101003634655,SE
7238053,101003595610,SE
7239913,101003597673,SE
7270894,101003632383,SE
7264878,101003625570,SE
7262462,101003622942,SE
7300794,101003665825,SE
7300891,101003665930,SE
7238804,101003596393,SE
7399646,101003908442,NE
7280416,101003643144,NE
7280015,101003642706,NE
7320032,101003687559,NE
7288853,101003652336,NE
7288972,101003652471,NE
7289248,101003652804,NE
7289709,101003653293,NE
7290142,101003653766,NE
7290729,101003654388,NE
7291060,101003654724,NE
7291481,101003655174,NE
7291708,101003655428,NE
7291783,101003655512,NE
7292136,101003655924,NE
7292490,101003656348,NE
7292491,101003656349,NE
7292547,101003656420,NE
7292938,101003656940,NE
7293688,101003657715,NE
7293990,101003658039,NE
7294004,101003658054,NE
7294268,101003658365,NE
7298247,101003662899,NE
7299093,101003663839,NE
7299390,101003664173,NE
7304815,101003670352,NE
7305256,101003670854,NE
7305260,101003670860,NE
7305734,101003671424,NE
7305735,101003671425,NE
id,case_numbe,QUAD
7305738,101003671428,NE
7308561,101003674608,NE
7309910,101003676024,NE
7313963,101003680615,NE
7316484,101003683547,NE
7318791,101003686143,NE
7321537,101003689347,NE
7330584,371696-101003699538,NE
7330783,101003699745,NE
7331294,101003700355,NE
7340150,101003710564,NE
7351141,101003723164,NE
7352157,101003724374,NE
7360823,376006-101003734424,NE
7361906,101003735757,NE
7396721,101003904890,NE
7396722,101003904891,NE
7407004,101003927658,NE
7407090,101003927760,NE
7239119,101003596744,NE
7251595,101003610625,NE
7270846,101003632334,NE
7288290,101003651728,NE
7288339,101003651781,NE
7289921,101003653531,NE
7290016,101003653633,NE
7290118,101003653742,NE
7290213,101003653846,NE
7291363,101003655044,NE
7292124,101003655911,NE
7292141,101003655929,NE
7293353,101003657369,NE
7294516,101003658624,NE
7294533,101003658642,NE
7295251,101003659492,NE
7295718,101003659988,NE
7295774,101003660051,NE
7299738,101003664626,NE
7300432,101003665445,NE
7303087,101003668435,NE
7305023,101003670592,NE
id,case_numbe,QUAD
7305757,101003671447,NE
7308344,101003674379,NE
7310279,101003676468,NE
7312031,101003678449,NE
7313809,101003680424,NE
7320126,101003687657,NE
7325836,101003694222,NE
7325842,101003694229,NE
7325845,101003694232,NE
7325850,101003694237,NE
7325852,101003694239,NE
7325854,101003694242,NE
7326472,101003694932,NE
7339067,101003709351,NE
7367204,101003741801,NE
7378451,101003774665,NE
7386767,101003784026,NE
7242241,101003600216,NE
7406909,101003927543,NW
7313168,101003679708,NW
7320172,101003687710,NW
7331901,101003701088,NW
7332928,371944-101003702310,SW
7403860,101003923710,NE
7410641,101003932066,NE
7292798,101003656762,NE
7394299,101003892029,NW
7252175,101003611284,NW
7235472,101003592651,NE
7235474,101003592653,NE
7235476,101003592657,NE
7235479,101003592662,NE
7254318,101003613634,NE
7288245,101003651680,NE
7261635,101003622046,NW
7404147,101003924103,NE
7404148,101003924105,NE
7404149,101003924106,NE
7247606,101003606199,NE
7266977,101003627961,NE
id,case_numbe,QUAD
7289062,101003652580,NE
7289679,101003653260,NE
7289700,101003653281,NE
7289935,101003653546,NE
7290820,101003654480,NE
7291101,101003654768,NE
7291782,101003655511,NE
7292200,101003656002,NE
7292423,101003656267,NE
7292579,101003656457,NE
7292617,101003656511,NE
7292712,101003656655,NE
7292737,101003656686,NE
7292779,101003656742,NE
7292793,101003656756,NE
7293567,101003657589,NE
7293581,101003657603,NE
7293644,101003657669,NE
7293940,101003657981,NE
7293960,101003658005,NE
7294055,101003658115,NE
7294072,101003658134,NE
7294086,101003658149,NE
7294137,101003658209,NE
7294433,101003658537,NE
7294644,101003658756,NE
7295079,101003659289,NE
7295303,101003659545,NE
7295480,101003659729,NE
7295575,101003659828,NE
7295583,101003659836,NE
7296193,101003660536,NE
7296524,101003660924,NE
7297508,101003662004,NE
7297719,101003662230,NE
7298391,101003663074,NE
7299312,101003664089,NE
7300356,101003665366,NE
7302967,101003668297,NE
7302975,101003668306,NE
7304620,101003670130,NE
id,case_numbe,QUAD
7305198,101003670785,NE
7305209,101003670796,NE
7305212,101003670800,NE
7305214,101003670802,NE
7305216,101003670806,NE
7305223,101003670814,NE
7305226,101003670818,NE
7305227,101003670819,NE
7305233,101003670827,NE
7305237,101003670832,NE
7305239,101003670834,NE
7305245,101003670840,NE
7305277,101003670880,NE
7305279,101003670882,NE
7305282,101003670886,NE
7305285,101003670889,NE
7305301,101003670913,NE
7305305,101003670917,NE
7305308,101003670921,NE
7305312,101003670928,NE
7305313,101003670930,NE
7305314,101003670931,NE
7305321,101003670940,NE
7305327,101003670946,NE
7305332,101003670951,NE
7305334,101003670953,NE
7305337,101003670956,NE
7305712,101003671401,NE
7305715,101003671404,NE
7305717,101003671406,NE
7305720,101003671409,NE
7305721,101003671410,NE
7305725,101003671414,NE
7305726,101003671415,NE
7305730,101003671419,NE
7305733,101003671423,NE
7305745,101003671435,NE
7305746,101003671436,NE
7305747,101003671437,NE
7305749,101003671439,NE
id,case_numbe,QUAD
7305752,101003671442,NE
7305753,101003671443,NE
7305755,101003671445,NE
7305758,101003671448,NE
7305761,101003671451,NE
7305762,101003671452,NE
7305765,101003671455,NE
7305779,101003671469,NE
7306571,101003672370,NE
7307134,101003673001,NE
7307225,101003673094,NE
7309554,101003675640,NE
7318208,101003685478,NE
7319112,101003686514,NE
7331172,101003700201,NE
7349852,101003721750,NE
7379302,101003775635,NE
7380393,101003776887,NE
7380633,101003777153,NE
7395019,101003892984,NE
7377467,101003773586,SW
7377665,101003773816,SW
7291131,101003654798,NE
7373304,101003768754,NE
7390585,101003887434,NE
7399985,101003908841,NE
7411595,101003933241,NE
7245714,101003604100,NE
7309357,368571-101003675436,NE
7309359,368572-101003675437,NE
7309360,368573-101003675438,NE
7309361,368574-101003675439,NE
7309362,368575-101003675440,NE
7309366,368578-101003675443,NE
7309413,368683-101003675492,NE
7309414,368685-101003675494,NE
7309419,368690-101003675498,NE
7309420,368693-101003675499,NE
7315932,369587-101003682935,NE
7317909,369915-101003685151,NE
7321590,370435-101003689409,NE
id,case_numbe,QUAD
7321591,370436-101003689410,NE
7321592,370438-101003689411,NE
7321593,370440-101003689412,NE
7321594,370441-101003689413,NE
7321595,370442-101003689414,NE
7321597,370434-101003689416,NE
7324945,101003693230,NE
7325334,101003693663,NE
7345090,373850-101003715995,NE
7345091,373849-101003715994,NE
7345092,373851-101003715996,NE
7345093,373852-101003715997,NE
7345095,373854-101003715999,NE
7345096,373855-101003716000,NE
7345097,373856-101003716001,NE
7345098,373857-101003716002,NE
7399274,101003907992,NE
7399391,101003908125,NE
7400381,101003919406,NE
7269015,101003630123,NE
7261153,101003621441,NE
7370505,101003745592,NE
7284374,101003647490,NW
7294081,101003658144,NW
7388949,101003885486,NW
7402740,101003922226,NW
7238089,101003595647,NW
7238127,101003595687,NW
7290402,101003654045,NE
7291260,101003654934,NE
7298033,101003662634,NE
7300197,101003665190,NE
7300731,101003665761,NE
7320249,101003687803,NE
7322876,101003690875,NE
7331430,101003700540,NE
7352901,101003725269,NE
7392206,101003889479,NE
7249094,101003607874,NE
7326262,370974-101003694711,NE
id,case_numbe,QUAD
7330660,101003699614,NE
7255433,101003614883,NW
7248027,101003606693,NE
7298305,101003662971,NE
7373337,101003768791,NE
7374076,101003769669,NE
7309055,101003675125,SW
7290513,101003654160,NW
7307434,368339-101003673322,NE
7364973,101003739276,NE
7364975,101003739279,NE
7390669,101003887555,NE
7396633,101003904781,NE
7256136,101003615823,NE
7311191,101003677484,NE
7367454,101003742087,NE
7351484,101003723573,SW
7367192,101003741787,SW
7369414,101003744269,SW
7387582,101003784958,SW
7267122,101003628135,NE
7384432,380077-101003781433,NW
7290181,101003653810,SW
7388491,101003884998,NW
